"fdcid","image"
"2646170","https://img.freepik.com/premium-photo/whole-raw-chicken-breast-isolated-white-background_182793-1481.jpg?w=740"
"172005","https://www.shutterstock.com/image-photo/canned-tuna-isolated-albacore-fish-600nw-2229357785.jpg"
"169757","https://www.shutterstock.com/image-photo/rice-bowl-on-white-background-600nw-710865547.jpg"
"169728","https://i.pinimg.com/736x/3a/ec/95/3aec95affcb9713f298fe144be88bd99.jpg"
"170026","https://t3.ftcdn.net/jpg/01/51/21/90/360_F_151219098_uZdemuk8HnmkEcCpueNxHexY71p34bSp.jpg"
"168482","https://img.freepik.com/premium-photo/sweet-potato-with-white-background-high-quality-ult_889056-10557.jpg"
"170903","https://t4.ftcdn.net/jpg/02/49/95/03/360_F_249950388_H2D8QEjkRlEGeI5L3N9FtpYAFzdWJesQ.jpg"
"173424","https://www.shutterstock.com/image-photo/chicken-egg-isolated-on-white-600nw-1187378770.jpg"
"1101825","https://t4.ftcdn.net/jpg/02/07/41/01/360_F_207410143_bog2pJgmvEcrQBmiBkU4YSQG7eGhdiM4.jpg"
"172205","https://img.freepik.com/premium-photo/glass-bottle-fresh-milk-isolated-white-background_252965-47.jpg"
"173944","https://t3.ftcdn.net/jpg/03/31/44/08/360_F_331440834_SHPXolIUy7tuIGQXedNm5bWz4dxUznJH.jpg"
"171726","https://www.shutterstock.com/image-photo/pile-tasty-dry-dates-isolated-600nw-1725095650.jpg"
"174682","https://img.freepik.com/premium-photo/red-grapes-isolated-white-background_62678-232.jpg"
"167762","https://easy-peasy.ai/cdn-cgi/image/quality=80,format=auto,width=700/https://fdczvxmwwjwpwbeeqcth.supabase.co/storage/v1/object/public/images/84501581-35f5-4bde-a87b-c41c236440d5/76433f7e-a664-4c1c-b43d-100d8b604c80.png"
"170393","https://img.freepik.com/premium-photo/isolated-carrot-white-background-high-resolution_599292-4679.jpg"
"168409","https://easy-peasy.ai/cdn-cgi/image/quality=80,format=auto,width=700/https://fdczvxmwwjwpwbeeqcth.supabase.co/storage/v1/object/public/images/6318e366-45f6-4e64-afa4-c92691fbc596/59e139af-701f-4afa-8850-f3b46a9211e8.png"
"169249","https://img.freepik.com/premium-photo/ai-fresh-green-lettuce-white-background_988987-1768.jpg"
"170457","https://img.freepik.com/premium-photo/tomato-white-background-highly-detailed-ai_220166-14326.jpg"
"169640","https://static.vecteezy.com/system/resources/previews/029/554/184/non_2x/honey-isolated-on-white-background-generative-ai-photo.jpg"
"983263","https://img.freepik.com/premium-photo/sliced-cold-smoked-turkey-breast-isolated-white-background-top-view_59529-1179.jpg"
"175167","https://img.freepik.com/premium-photo/ai-salmon-fish-slice-white-background_988987-1937.jpg"
"175180","https://img.freepik.com/premium-photo/close-up-fresh-raw-mantis-shrimp-white-background_252600-8931.jpg"
